"KOD","NAZEV","ANAZEV"
BIOEKO,Ekologie,Ecology
SOCSTR,"Stratifikace, sociologie rodiny",Sociology of Stratification
SOCSWO,Sociální práce,Social Work
SPOBMS,Předměty biomedicínského základu,Biomedicine Subjects
SPODIS,Tělesná a pracovní výchova pro postižené,Physical and Labour Education for Disabled
SPOEXT,Předměty širšího základu,External Subjects
SPOGEN,Předměty obecného základu,General Subjects
SPOMNG,Management,Management
SPOREH,Rehabilitace,Rehabilitation
SPOSOC,Předměty společenského základu,Social Subjects
SPOSPE,Předměty odborného základu,Special Core Subjects
TEAART,Výtvarná výchova,Art Education
TEABIO,Biologie,Biology
TEABOH,Bohemistika,"Bohemian Studies, Czech Studies"
TEABSC,Základy pedagogiky,Basics of Pedagogics
TEACAT,Učitelství katolické teologie,Teaching Catholic Theology
TEACHE,Chemie,Chemistry
TEADRA,Dramatická výchova,Drama Education
TEAENG,Angličtina,English
TEAEXT,Předměty širšího základu,External Subjects
TEAFRA,Francouzština,French
TEAGEN,Předměty obecného základu,General Subjects
TEAGEO,Deskriptivní geometrie,Descriptive Geometry
TEAGER,Němčina,German
TEAHIS,Dějepis,History
TEAHUS,Učitelství husitské teologie,Teaching of Hussite Theology
TEAINF,Informatika,Informatics
TEAMAT,Matematika,Mathematics
TEAMUS,Hudební výchova,Music Education
TEAOVY,Občanská výchova,Civic Education
TEAPED,Pedagogika,Pedagogy
TEAPHY,Fyzika,Physics
TEAPSY,Psychologie,Psychology
TEARUS,Ruština,Russian
TEARVY,Rodinná výchova,Family Education
TEASPO,Tělesná výchova,Physical Education
TEATEC,Základy techniky,Basics of Technology
THECAT,Katolická teologie,Catholic Theology
THEEXT,Předměty širšího základu,External Subjects
THEGEN,Předměty obecného základu,General Subjects
THEHUS,Husitská teologie,Hussite Theology
THEPRO,"Evangelická teologie, pastorální  a socialní práce","Protestant Theology, Pastoral and Social Work, The"
ARS,Mezinárodní teritoriální studia,Area Studies
ART,Umění,Arts
BIO,Biologie,Biology
CHE,Chemie,Chemistry
COM,"Žurnalistika, Masová komunikace","Communication, Journalism"
DEM,Demografie,Demography
ECO,Ekonomie,Economics
ENV,Ekologie a ochrana živ. prostředí,Environmental Sciences
GEG,Geografie,Geography
GEL,Geologie,Geology
HLC,Zdravotnické obory,Health Care
INF,Informatika,Informatics
LAW,Právo,Law
MAT,Matematika,Mathematics
MED,Lékařství,Medicine
PED,Pedagogika,Pedagogy
PHL,Filologie,Philology
PHS,Filosofie,Philosophy
PHY,Fyzika,Physics
PLS,Politologie,Political Sciences
PMC,Farmacie,Pharmacy
PSY,Psychologie,Psychology
SOC,Sociologie,Sociology
SPO,Sport,Sport and Physical Education
TEA,Učitelství,Teaching
THE,Teologie,Theology
SOCSPO,Sociální a veřejná politika,Social Policy
LAWLAN,Cizí jazyky pro právníky,Foreign Languages for Lawyers
LAWROM,Římské právo,Roman Law
LAWTHE,Teorie práva,Theory of Law
MATALG,Algebra,Algebra
MATDEQ,"Diferenciální rovnice, teorie potenciálu","Differential Equations, Potential Theory"
MATDID,Didaktika matematiky,Didactics of Mathematics
MATDIS,Diskrétní matematika,Discrete Mathematics
MATECO,Matematická ekonomie a ekonometrie,Math. Econ. and Econometrics
MATEXT,Předměty širšího základu,External Subjects
MATFIN,Finanční a pojistná matematika,Financial and Insurance Math.
MATFNC,Funkční analýza,Functional Analysis
MATGEM,Geometrie,Geometry
MATGEN,Předměty obecného základu,General Subjects
MATMAA,Reálná a komplexní analýza,Real and Complex Analysis
MATMAT,Matematika,Mathematics General
MATMOD,Matematické modelování ve fyzice,Mathematical Modeling in Physics
MATNUM,Numerická analýza,Numerical Analysis
MATOPT,Optimalizace,Optimization
MATSTP,Pravděpodobnost a statistika,Probability and Statistics
MATTOP,Topologie a kategorie,Topology and Category
MEDACX,Pomocné předměty,Auxiliary Subjects
MEDBSX,Teoretické předměty,Basic Sciences
MEDCDX,Klinické předměty,Clinical Disciplines
MEDCOX,Klinický přehled,Clinical Overview
MEDEXT,Předměty širšího základu,External Subjects
MEDGEN,Předměty obecného základu,General Subjects
MEDIMX,Informatika,Informatics
MEDPTX,Praktická cvičení,Practical Training
MEDTMX,Teorie a metodologie,Theory and Methodology
MEDTSX,Technické předměty a technologie,Technical Disciplines and Technology
PEDEXT,Předměty širšího základu,External Subjects
PEDGEN,Předměty obecného základu,General Subjects
PEDSPE,Speciální pedagogika,Special Pedagogy
PEDTEA,Pedagogika a psychologie pro učitele,Pedagogy and Psychology for Teachers
PHLAAL,Asijské a africké jazyky,Asian and African Languages
PHLAAT,Asijská a africká literatura,Asian and African Literatures and Literacy Theorie
PHLALB,Albánština,Albanian
PHLARM,Arménština,Armenian
PHLCPH,Klasická filologie,Classical Philology
PHLCPL,Komparativní literatura,Comparative Literature
PHLDAN,Dánština,Danish
PHLDUT,Nizozemština,Dutch
PHLEAS,Anglistika a amerikanistika,English and American Studies
PHLEXT,Předměty širšího základu,External Subjects
PHLFIN,Finština,Finnish
PHLFRE,Francouzština,French
PHLGEN,Předměty obecného základu,General Subjects
PHLGER,Němčina,German
PHLGLG,Germánské jazyky,Germanic Languages
PHLGRK,Řečtina,Greek
PHLHUN,Maďarština,Hungarian
PHLICL,Islandština,Icelandic
PHLITL,Italština,Italian
PHLLAT,Latina,Latin
PHLLPH,Lingvistika a fonetika,Linguistics and Phonetics
PHLLTH,Litevština,Lithuanian
PHLLTN,Lotyština,Latvian
PHLNGR,Novořečtina,"New Greek, Modern Greek"
PHLNOR,Norština,Norwegian
PHLPHO,Fonetika,Phonetics
PHLPOR,Portugalština,Portuguese
PHLRLG,Románské jazyky,Romance Languages
PHLRLT,Románská literatura,Romance Literatures
PHLRUM,Rumunština,Rumanian
PHLSPA,Španělština,Spanish
PHLSPH,Slovanská filologie,Slavonic Philology
PHLSWE,Švédština,Swedish
PHLTHL,Literární teorie,Literary Theory
PHLTLS,Translatologie,Translation Studies
PHLTSE,Překladatelství angličtina,Translation Studies - English
PHLTSF,Překladatelství francouzština,Translation Studies - French
PHLTSG,Překladatelství němčina,Translation Studies - German
PHLTSR,Překladatelství ruština,Translation Studies - Russian
PHLTSS,Překladatelství španělština,Translation Studies - Spanish
PHSEXT,Předměty širšího základu,External Subjects
PHSGEN,Předměty obecného základu,General Subjects
PHSLOG,Logika,Logic
PHSREL,Religionistika,Religion Studies
PHSSPE,Filozofie,Philosophy
PHYAST,Astronomie a astrofyzika,Astronomy and Astrophysics
PHYBPH,Biofyzika a chemická fyzika,Biophysics and Chemical Physics
PHYENV,Ekologie a životní prostředí,Ecology and Environmentalism
PHYEXT,Předměty širšího základu,External Subjects
PHYGEN,Předměty obecného základu,General Subjects
PHYGEO,Geofyzika,Geophysics
PHYMAT,Matematika pro fyziky,Mathematics for Physicists
PHYMET,Meterologie a klimatologie,Meteorology and Climatology
PHYMOD,Matematické a počítačové modelování ve fyzice,Mathematical and Computing Modelling in Physics
PHYNUC,Jaderná a subjaderná fyzika,Nuclear and Subnuclear Physics
PHYOPT,Optika a optoelektronika,Optics and Optoelectronics
PHYSOL,Fyzika pevných látek,Solid State Physics
PHYSUR,Fyzika povrchů a ionisovaných prostředí,Surface Physics and P. of Ion.M.
PHYTEA,Učitelství fyziky,Teaching
PHYTHM,Teoretická a matematická fyzika,Theoretical and Math. Physics
PLSCPS,Komparativní analýza politických systémů,Comparative Political Studies
PLSCZP,Česká politika,Czech Politics
PLSECO,Ekonomie,Economy
PLSEUS,Evropská studia,European Studies
PLSEXT,Předměty širšího základu,External Subjects
PLSGEN,Předměty obecného základu,General Subjects
PLSHIS,Historie,History
PLSIRE,Mezinárodní vztahy,International Relations
PLSLAW,Právo,Law
PLSPGG,Politická geografie a geopolitika,Political Geography and Geopolitics
PLSPGV,Vládní politika,Politics of Government
PLSPPT,Politická filozofie,Political Philosophy
PMCEXT,Předměty širšího základu,External Subjects
PMCGEN,Předměty obecného základu,General Subjects
PMCSPE,Předměty  farmacie speciální,Special Core Subjects
PSYCDX,Klinická psychologie,Clinical Psychology
PSYCOM,Komunikace,Communication
PSYEXT,Předměty širšího základu,External Subjects
PSYFOP,Základy psychologie,Foundations of Psychology
PSYGEN,Předměty obecného základu,General Subjects
PSYPAP,Semináře,Seminars and Student Papers
PSYPED,Psychologie výchovy,Educational Psychology
PSYPRT,Praktická cvičení,Practice and Practical Training
PSYPWO,Psychologie práce a organizace,Psychology of Work and Organization
PSYSFP,Speciální otázky psychologie,Special Fields of Psychology
PSYSOC,Sociální psychologie,Social Psychology
PSYSUC,Doplňující předměty,Supplementary Courses
SOCAPP,Aplikované sociologické discipliny,Applied Sociology
SOCCHA,"Sociologie globalizace, sociologie procesů",Social Change
SOCCUL,"Sociologie kultury, životního stylu","Sociology of Culture, Life Style"
SOCDEV,Sociologie deviantního jednání,Social Deviance
SOCEXT,Předměty širšího základu,External Subjects
SOCGEN,Předměty obecného základu,General Subjects
SOCHIS,Dějiny sociologie,History of Sociology
SOCHLC,Sociologie zdravotní péče,Sociology of Health Care
SOCMAS,Sociologie masové komunikace,MassMedia Research
SOCMET,Metodologie a techniky výzkumu,Methodology
SOCORW,Sociologie organizace práce,Sociology of Organization and of Work
SOCPOP,"Soc veřejného mínění,trhu,reklamy, politiky",Public Opinion Research
SOCPRT,"Praktikla, semináře",Practical Training
SOCSPE,Předměty odborného základu,Special Core Subjects
LAWLAB,Pracovní právo a sociální zabezpečení,Labour Law and Social Security
ARSEXT,Předměty širšího základu,External Subjects
ARSGAS,Německá a rakouská studia,German and Austrian Studies
ARSGEN,Předměty obecného základu,General Subjects
ARSRES,Ruská a východoevropská studia,Russian and East E. Studies
ARSWES,Západoevropská studia,West European Studies
ARTAPL,Aplikovaná umění,Applied Arts
ARTCOM,Umění a masmédia,Arts and Mass Media
ARTEXT,Předměty širšího základu,External Subjects
ARTFIC,Krásná literatura literární tvorba,"Fiction, Writing"
ARTFIN,Výtvarná umění,Fine Arts
ARTGEN,Předměty obecného základu,General Subjects
ARTHIS,Dějiny umění,Art History
ARTPER,Múzická umění kromě hudby,Performing Arts
BIOANT,Antropologie,Anthropology
BIOCPB,Buněčná fyziologie a biochemie,Cell Physiology and BioChemistry
BIODEV,Vývojová biologie,Developmental Biology
BIODID,Didaktika biologie,Didactics of Biology
BIOENT,Entomologie,Entomology
BIOENV,Ekologie a přírodní prostředí,Ecology and Environmentalism
BIOETH,Ekologie a etologie,Ecology and Ethology
BIOEXT,Předměty širšího základu,External Subjects
BIOGEN,Předměty obecného základu,General Subjects
BIOGEO,Geobotanika,Geobotany
BIOGNT,Genetika,Genetics
BIOHAP,Lidská a živočišná fyziologie,Human and Animal Physiology
BIOHYD,Hydrobiologie,Hydrobiology
BIOIMU,Imunologie,Immunology
BIOMIC,Mikrobiologie,Microbiology
BIOMOL,Molekulární biologie,Molecular biology
BIONEU,Neurobiologie,Neurobiology
BIONPB,Botanika nižších rostlin,Non-Vascular Plant Botany
BIONZV,Zoologie bezobratlých,Non-Vertebrates Zoology
BIOPAP,Anatomie a fyziologie rostlin,Plant Anatomy and Physiology
BIOPAR,Parazitologie,Parasitology
BIOPMB,Molekulární biologie rostlin,Plant molecular Biology
BIOTHE,Teoretická biologie,Theoretical Biology
BIOVER,Zoologie obratlovců,Vertebratology
BIOVIR,Virologie,Virology
BIOVPB,Botanika vyšších rostlin,Vascular Plant Botany
CHEANG,Anorganická chemie,Inorganic Chemistry
CHEANL,Analytická chemie,Analytical Chemistry
CHEBCH,Biochemie,Biochemistry
CHECAT,Klinická a toxikologická analýza,Clinical and Toxicology Analysis
CHEDID,Didaktika chemie,Didactics of Chemistry
CHEENV,Ekologie a ochrana životního prostředí,Environmental Chemistry
CHEEXT,Předměty širšího základu,External Subjects
CHEGEN,Předměty obecného základu,General Subjects
CHENUC,Nukleární chemie,Nuclear Chemistry
CHEORG,Organická chemie,Organic Chemistry
CHEPHY,Fyzikální chemie,Physical Chemistry
COMCLM,Jazyk a média,Language and Media
COMCST,Sociální komunikace,Social Communication
COMEXT,Předměty širšího základu,External Subjects
COMGEN,Předměty obecného základu,General Subjects
COMJJS,Žurnalistické dovednosti,Journalistic Skills
COMJTE,Technologie,Technology
COMMMH,Dějiny médií,Media History
COMMMT,Teorie médií,Media Theory
COMSOC,Sociologie,Sociology
DEMAPL,Aplikovaná demografie,Applied Demography
DEMBAS,Předměty demografie pro nedemografy,Courses of Basic Demography for Nondemographs
DEMDAT,Zdroje dat v demografii,Data Sources
DEMEXT,Předměty širšího základu,External Subjects
DEMFOR,Základy demografie,Principles of Demography
DEMGEN,Předměty obecného základu,General Subjects
DEMMOD,Modelování v demografii,Demographic Modelling
DEMPOL,Populační politika,Population Policies
DEMPRO,Populační vývoj,Population Forecasting
ARSAMS,Americká studia,American Studies
DEMREG,Regionální demografie,Regional Demography
DEMTHE,Populační teorie,Population Theories
ECOEUS,Evropská ekonom. integrace,European Econ. Integration
ECOEXT,Předměty širšího základu,External Subjects
ECOFIN,Finanční ekonomie,Financial Economics
ECOGEN,Předměty obecného základu,General Subjects
ECOHIS,Dějiny ekonomických teorií,History of Economic Theory
ECOMAT,Ekonomická matematika,Mathematics
ECOPLS,Politologie a mezinárodní vztahy,Politics and International Relations
ECOSOC,Komparativní ekonomické systémy,Comparative Economic Systems
ECOSPE,Ekonomie,Economy
ENVECO,Ekonomické aspekty životního prostředí,Environmental Economy
ENVENG,Ekologické aspekty technologií,Environmental Engineering
ENVEXT,Předměty širšího základu,External Subjects
ENVGEN,Předměty obecného základu,General Subjects
ENVHUM,Ekologie člověka,Human Ecology
ENVLAW,Právo ochrany životního prostředí,Environmental Law
ENVPRO,Ochrana životního prosředí,Environmental Protection and cons.
GEGCAR,Kartografie,Cartography
GEGCOM,Masová média,Communications and Mass Media
GEGDID,Didaktika geografie,Didactics of Geography
GEGECL,Geoekologie,GeoEcology
GEGENV,Ekologie a přírodní prostředí,Ecology and Environmentalism
GEGEXT,Předměty širšího základu,External Subjects
GEGGEN,Předměty obecného základu,General Subjects
GEGGIN,Geoinformatika,GeoInformatics
GEGPHG,Fyzická geografie,Physical Geography
GEGRPG,Regionální a politická geografie,Regional and Political Geography
GEGSOC,Sociální geografie a regionální rozvoj,Social Geography and Regional Development
GELAPL,Aplikovaná geofyzika,Applied Geophysics
GELDID,Didaktika geologie,Didactics of Geology
GELEXT,Předměty širšího základu,External Subjects
GELGEN,Předměty obecného základu,General Subjects
HLCACX,Doplňkové předměty,Auxiliary Subjects
HLCBSX,Teoretické předměty,Basic Sciences
HLCCDX,Klinické předměty,Clinical Disciplines
HLCCOX,Klinické souborné předměty,Clinical Overview
HLCIMX,Zdraví informatika,Informatics
HLCPTX,Praktická cvičení,Practical Training
HLCTMX,Teorie a metodologie,Theory and Methodology
HLCTSX,Technické předměty a technologie,Tech. Discipl. and Technology
INFAPL,Aplikační software,Software Applications
INFCGR,Počítačová grafika a geometrie,Computer Graphics and Geometry
INFDBS,Databázové systémy,Database Systems
INFDID,Didaktika informatiky,Didactics of Informatics
INFDIS,Diskrétní matematika,Discrete Mathematics
INFEXT,Předměty širšího základu,External Subjects
INFGEN,Předměty obecného základu,General Subjects
INFLNG,Počítačová a formální lingvistika,Computer and Formal Linguistics
INFOPT,Optimalizace,Optimalization
INFPRG,Programování,Programming
INFSWE,Softwarové inženýrství,Software Engineering
INFTCS,Teoretická informatika,Theoretical Computer Science
LAWADM,Správní právo,Administrative Law
LAWBUS,Obchodní právo,Business Law
LAWCIV,Občanské pravo,Civil Law
LAWCON,Ústavní právo,Constitutional Law
LAWCRI,Trestní právo,Criminal Law
LAWECO,Teorie národního hospodářství,Theory of National Economy
LAWENV,Právo životního prostředí,Environmental Law
LAWEUR,Evropské právo,European Law
LAWEXT,Předměty širšího základu,External Subjects
LAWFIN,Finanční právo,Financial Law
LAWGEN,Předměty obecného základu,General Subjects
LAWHIS,Dějiny práva,Legal History
LAWINT, Mezinárodní právo veřejné,Public International Law
LAWIPR,Mezinárodní právo soukromé,Private International Law
PMCPHY,,
MATINF,,
PMCSPO,,
PHLCZE,,
PMCCHE,,
HLSTMX,,
HLSTSX,,
SPOACX,,
PHSPHS,,
PMCBIO,,
HLSACX,,
PMCMAT,,
HLSIMX,,
