"POVINN","JAZYK","PLATIOD","PLATIDO"
NMMA623,ENG,"2016","9999"
NMMA654,ENG,"2022","9999"
NMMA706,ENG,"2020","9999"
NMMB360,ENG,"2019","9999"
NMMB401,CZE,"2020","9999"
NMMB402,CZE,"2019","2022"
NMMB402,CZE,"2023","9999"
NMMB403,CZE,"2019","9999"
NMMB405,CZE,"2017","9999"
NMMB407,ENG,"2018","9999"
NMMB409,ENG,"2018","2020"
NMMB409,ENG,"2021","2023"
NMMB409,ENG,"2024","9999"
NMMB430,ENG,"2021","2023"
NMMB430,ENG,"2023","2023"
NMMB430,ENG,"2024","9999"
NMMB432,CZE,"2020","9999"
NMMB433,ENG,"2018","2022"
NMMB434,ENG,"2018","2023"
NMMB436,CZE,"2020","9999"
NMMB438,ENG,"2017","9999"
NMMB440,CZE,"2018","9999"
NMMB442,CZE,"2018","9999"
NMMB451,ENG,"2018","2020"
NMMB451,ENG,"2021","9999"
NMMB453,CZE,"2014","9999"
NMMB464,CZE,"2020","2020"
NMMB464,CZE,"2021","9999"
NMMB471,CZE,"2018","2021"
NMMB471,CZE,"2022","9999"
NMMB473,CZE,"2021","9999"
NMMB498,CZE,"2019","9999"
NMMB499,CZE,"2019","9999"
NMMB534,ENG,"2020","2020"
NMMB534,ENG,"2021","9999"
NMMB536,CZE,"2018","9999"
NMMB551,CZE,"2016","2021"
NMMB551,CZE,"2022","2022"
NMMB551,CZE,"2023","9999"
NMMB562,CZE,"2019","9999"
NMMB564,CZE,"2019","9999"
NMMB566,CZE,"2023","9999"
NMMO302,CZE,"2021","2021"
NMMO302,CZE,"2022","9999"
NMMO401,ENG,"2019","2020"
NMMO403,ENG,"2020","2020"
NMMO404,ENG,"2014","2020"
NMMO432,ENG,"2014","2020"
NMMO461,ENG,"2017","2020"
NMMO463,ENG,"2017","2022"
NMMO463,ENG,"2023","9999"
NMMO531,ENG,"2014","9999"
NMMO533,ENG,"2021","9999"
NMMO534,ENG,"2018","9999"
NMMO535,ENG,"2014","2020"
NMMO535,ENG,"2021","9999"
NMMO537,ENG,"2016","2020"
NMMO537,ENG,"2020","2020"
NMMO539,ENG,"2014","9999"
NMMO541,ENG,"2020","2020"
NMMO541,ENG,"2021","2022"
NMMO541,ENG,"2023","9999"
NMMO543,ENG,"2023","9999"
NMMO561,ENG,"2014","2020"
NMMO564,ENG,"2014","2020"
NMMO566,ENG,"2017","9999"
NMMO592,ENG,"2016","2021"
NMMO592,ENG,"2022","2022"
NMMO622,ENG,"2016","9999"
NMMO623,ENG,"2016","9999"
NMMO624,ENG,"2016","9999"
NMMO660,ENG,"2018","9999"
NMAG531,CZE,"2020","9999"
NMAG532,CZE,"2020","9999"
NMAG533,ENG,"2017","2023"
NMAG533,ENG,"2024","9999"
NMAG534,ENG,"2018","2020"
NMAG534,ENG,"2021","2021"
NMAG534,ENG,"2022","2023"
NMAG534,ENG,"2024","9999"
NMAG535,CZE,"2021","9999"
NMAG561,ENG,"2018","9999"
NMAG562,CZE,"2018","9999"
NMAG563,CZE,"2020","9999"
NMAG566,ENG,"2020","9999"
NMAG567,CZE,"2018","2022"
NMAG568,CZE,"2018","9999"
NMAG570,CZE,"2024","9999"
NMAG573,CZE,"2019","9999"
NMAG575,ENG,"2020","9999"
NMAG576,ENG,"2017","9999"
NMAG577,CZE,"2017","9999"
NMAG661,ENG,"2019","9999"
NMAG662,ENG,"2019","9999"
NMAI040,ENG,"2017","9999"
NMAI042,ENG,"2020","9999"
NMAI054,ENG,"2014","9999"
NMAI055,ENG,"2015","2022"
NMAI055,ENG,"2023","9999"
NMAI056,ENG,"2018","2023"
NMAI056,ENG,"2024","9999"
NMAI057,ENG,"2020","2021"
NMAI057,ENG,"2022","2023"
NMAI057,ENG,"2024","9999"
NMAI058,ENG,"2014","9999"
NMAI059,ENG,"2020","2020"
NMAI059,ENG,"2021","9999"
NMAI060,ENG,"2016","9999"
NMAI062,CZE,"2024","9999"
NMAI062,ENG,"2020","2020"
NMAI062,ENG,"2021","2021"
NMAI062,ENG,"2022","2022"
NMAI063,ENG,"2017","9999"
NMAI064,ENG,"2016","9999"
NMAI067,ENG,"2018","2020"
NMAI067,ENG,"2021","9999"
NMAI069,ENG,"2020","9999"
NMAI073,CZE,"2022","2022"
NMAI073,CZE,"2023","9999"
NMAI073,ENG,"2021","2021"
NMAI075,ENG,"2018","9999"
NMAI165,ENG,"2018","9999"
NMAL430,ENG,"2021","9999"
NMAT057,ENG,"2016","9999"
NMEK436,CZE,"2020","2021"
NMEK436,CZE,"2022","9999"
NMEK511,ENG,"2024","9999"
NMEK521,ENG,"2022","9999"
NMEK617,ENG,"2017","9999"
NMET001,ENG,"2020","9999"
NMET002,ENG,"2020","2021"
NMET002,ENG,"2022","9999"
NMET003,ENG,"2020","9999"
NMET004,ENG,"2020","9999"
NMET005,ENG,"2020","9999"
NMET009,ENG,"2020","9999"
NMET010,ENG,"2020","2020"
NMET010,ENG,"2021","9999"
NMET011,ENG,"2020","9999"
NMET012,ENG,"2020","2020"
NMET012,ENG,"2021","9999"
NMET013,ENG,"2020","9999"
NMET014,ENG,"2020","9999"
NMET015,ENG,"2020","9999"
NMET019,ENG,"2020","9999"
NMET020,ENG,"2020","9999"
NMET021,ENG,"2020","9999"
NMET023,ENG,"2020","9999"
NMET024,ENG,"2020","9999"
NMET025,ENG,"2020","9999"
NMET027,ENG,"2020","9999"
NMET031,ENG,"2020","9999"
NMET032,ENG,"2020","9999"
NMET033,ENG,"2020","9999"
NMET034,ENG,"2020","9999"
NMET035,ENG,"2020","9999"
NMET036,ENG,"2020","9999"
NMET050,ENG,"2020","2023"
NMET054,ENG,"2020","9999"
NMET056,ENG,"2020","9999"
NMET059,ENG,"2020","9999"
NMET061,ENG,"2020","9999"
NMET062,ENG,"2020","9999"
NMET063,ENG,"2020","2023"
NMET064,ENG,"2020","9999"
NMET065,ENG,"2020","9999"
NMET066,ENG,"2020","9999"
NMET067,ENG,"2020","9999"
NMET068,ENG,"2020","9999"
NMET069,ENG,"2020","9999"
NMET070,ENG,"2020","9999"
NMET071,ENG,"2020","9999"
NMET072,ENG,"2020","9999"
NMET073,ENG,"2020","9999"
NMET074,ENG,"2020","9999"
NMET075,ENG,"2020","9999"
NMET076,ENG,"2020","9999"
NMET077,ENG,"2020","9999"
NMET078,ENG,"2020","9999"
NMET079,ENG,"2020","9999"
NMET501,ENG,"2020","9999"
NMET502,ENG,"2020","9999"
NMET503,ENG,"2020","9999"
NMET505,ENG,"2020","9999"
NMET506,ENG,"2020","9999"
NMET507,ENG,"2020","9999"
NMET508,ENG,"2020","9999"
NMET509,ENG,"2020","9999"
NMET510,ENG,"2020","9999"
NMET511,ENG,"2020","9999"
NMET512,ENG,"2020","9999"
NMET513,ENG,"2020","9999"
NMET514,ENG,"2020","9999"
NMET515,ENG,"2020","9999"
NMET517,ENG,"2020","9999"
NMET518,ENG,"2020","9999"
NMET519,ENG,"2020","9999"
NMET520,ENG,"2020","9999"
NMET524,ENG,"2020","9999"
NMET525,ENG,"2020","9999"
NMET526,ENG,"2020","9999"
NMET527,ENG,"2020","9999"
NMET528,ENG,"2020","9999"
NMET529,ENG,"2020","9999"
NMET530,ENG,"2020","9999"
NMET531,ENG,"2020","9999"
NMET532,ENG,"2020","9999"
NMET533,ENG,"2020","9999"
NMET534,ENG,"2020","9999"
NMET535,ENG,"2020","9999"
NMFM401,CZE,"2019","2020"
NMFM401,CZE,"2021","9999"
NMFM402,CZE,"2020","9999"
NMFM404,CZE,"2019","9999"
NMFM405,ENG,"2018","9999"
NMFM406,ENG,"2018","9999"
NMFM408,CZE,"2015","9999"
NMFM416,CZE,"2016","9999"
NMFM431,CZE,"2020","9999"
NMFM503,ENG,"2020","2020"
NMFM503,ENG,"2021","9999"
NMFM505,CZE,"2015","9999"
NMFM507,ENG,"2020","9999"
NMFM531,CZE,"2016","9999"
NMFM532,CZE,"2016","9999"
NMFM535,CZE,"2016","9999"
NMFM537,CZE,"2020","9999"
NMFM601,ENG,"2016","9999"
NMFP401,ENG,"2024","9999"
NMFP402,CZE,"2022","9999"
NMFP403,CZE,"2022","9999"
NMFP405,CZE,"2022","9999"
NMFP406,CZE,"2022","9999"
NMFP407,CZE,"2022","9999"
NMFP409,CZE,"2023","9999"
NMFP409,ENG,"2022","2022"
NMFP432,CZE,"2022","9999"
NMFP434,CZE,"2023","9999"
NMFP434,ENG,"2022","2022"
NMFP436,CZE,"2021","2023"
NMFP436,CZE,"2024","9999"
NMFP465,CZE,"2022","9999"
NMFP466,CZE,"2022","9999"
NMFP503,CZE,"2023","2023"
NMFP503,CZE,"2024","9999"
NMFP505,CZE,"2022","9999"
NMFP531,CZE,"2023","2023"
NMFP531,ENG,"2024","9999"
NMFP534,CZE,"2023","9999"
NMFP535,CZE,"2023","9999"
NMFP537,ENG,"2023","9999"
NMIB010,CZE,"2021","9999"
NMMA202,ENG,"2019","9999"
NMMA347,ENG,"2022","9999"
NMMA348,ENG,"2022","9999"
NMMA401,CZE,"2017","2022"
NMMA401,CZE,"2023","9999"
NMMA401,ENG,"2017","2022"
NMMA402,CZE,"2021","9999"
NMMA402,ENG,"2019","2020"
NMMA403,ENG,"2016","9999"
NMMA404,ENG,"2020","2021"
NMMA404,ENG,"2023","9999"
NMMA405,ENG,"2022","9999"
NMMA406,CZE,"2024","9999"
NMMA406,ENG,"2020","2020"
NMMA406,ENG,"2022","2022"
NMMA407,CZE,"2020","9999"
NMST570,ENG,"2018","2022"
NMST570,ENG,"2023","9999"
NMST571,ENG,"2018","9999"
NMST603,ENG,"2019","9999"
NMTM402,ENG,"2023","9999"
NMTM462,ENG,"2023","9999"
NMTP432,CZE,"2024","9999"
NMTP432,ENG,"2017","2023"
NMTP434,ENG,"2016","9999"
NMTP438,CZE,"2019","2021"
NMTP438,CZE,"2022","9999"
NMTP450,ENG,"2016","9999"
NMTP462,CZE,"2018","2021"
NMTP462,CZE,"2022","9999"
NMTP533,CZE,"2020","2021"
NMTP533,CZE,"2022","9999"
NMTP535,ENG,"2014","9999"
NMTP541,ENG,"2019","9999"
NMTP551,ENG,"2017","9999"
NMTP561,CZE,"2021","2023"
NMTP563,CZE,"2015","9999"
NMTP564,ENG,"2014","9999"
NMTP565,CZE,"2015","2021"
NMTP565,ENG,"2024","9999"
NMTP566,ENG,"2017","2021"
NMTP566,ENG,"2022","9999"
NMTP569,ENG,"2018","9999"
NMTP576,CZE,"2022","2022"
NMTP576,ENG,"2023","9999"
NMTP578,ENG,"2018","9999"
NMTP604,ENG,"2017","9999"
NMTP611,ENG,"2017","9999"
NMTP612,ENG,"2018","9999"
NMTP613,ENG,"2019","9999"
NMTP614,ENG,"2017","9999"
NOFY036,ENG,"2021","9999"
NOOE003,ENG,"2022","9999"
NOOE005,ENG,"2022","9999"
NOOE016,ENG,"2022","9999"
NOOE021,ENG,"2020","9999"
NOOE025,ENG,"2020","9999"
NOOE026,ENG,"2022","9999"
NOOE027,ENG,"2023","2023"
NOOE027,ENG,"2024","9999"
NOOE028,ENG,"2022","9999"
NOOE029,ENG,"2022","9999"
NOOE033,ENG,"2023","9999"
NOOE034,ENG,"2022","9999"
NOOE046,ENG,"2022","9999"
NOOE052,ENG,"2023","9999"
NOOE061,ENG,"2022","9999"
NOOE063,ENG,"2023","9999"
NOOE068,ENG,"2022","9999"
NOOE069,ENG,"2022","9999"
NOOE070,ENG,"2022","9999"
NOOE072,ENG,"2022","9999"
NOOE074,ENG,"2022","9999"
NOOE080,ENG,"2023","9999"
NOOE100,ENG,"2023","9999"
NOOE114,CZE,"2021","2021"
NOOE114,CZE,"2022","9999"
NOOE114,ENG,"2018","2020"
NOOE116,ENG,"2022","9999"
NOOE120,ENG,"2023","9999"
NOOE121,ENG,"2023","9999"
NOOE126,ENG,"2023","9999"
NOOE138,ENG,"2023","9999"
NOOE219,ENG,"2022","9999"
NOPT013,ENG,"2017","9999"
NOPT016,ENG,"2016","2021"
NOPT016,ENG,"2022","9999"
NOPT017,ENG,"2017","2021"
NOPT017,ENG,"2022","9999"
NOPT018,ENG,"2016","2021"
NOPT018,ENG,"2022","9999"
NOPT021,ENG,"2022","9999"
NOPT034,ENG,"2020","9999"
NOPT042,CZE,"2014","9999"
NOPT046,ENG,"2019","2020"
NOPT046,ENG,"2021","9999"
NOPT048,ENG,"2020","9999"
NOPT051,ENG,"2017","2021"
NOPT051,ENG,"2022","9999"
NOPT053,ENG,"2017","2021"
NOPT053,ENG,"2022","2023"
NOPT056,ENG,"2018","9999"
NOPT057,ENG,"2015","2021"
NOPT057,ENG,"2022","9999"
NOPT059,ENG,"2021","2021"
NOPT059,ENG,"2022","9999"
NOPT061,ENG,"2022","2022"
NOPT061,ENG,"2023","9999"
NPED045,ENG,"2023","2023"
NPED045,ENG,"2024","9999"
NPFL004,ENG,"2020","9999"
NPFL006,CZE,"2022","9999"
NPFL006,ENG,"2019","2020"
NPFL006,ENG,"2021","2021"
NPFL012,ENG,"2014","9999"
NPFL015,ENG,"2014","9999"
NPFL038,ENG,"2020","9999"
NPFL054,ENG,"2019","2021"
NPFL054,ENG,"2022","9999"
NPFL063,ENG,"2017","9999"
NPFL067,ENG,"2020","9999"
NPFL068,ENG,"2020","2021"
NPFL068,ENG,"2022","9999"
NPFL070,ENG,"2020","9999"
NPFL073,ENG,"2020","9999"
NPFL075,ENG,"2020","9999"
NPFL079,ENG,"2020","9999"
NPFL082,ENG,"2020","2023"
NPFL082,ENG,"2024","9999"
NPFL083,ENG,"2019","9999"
NPFL087,ENG,"2020","9999"
NPFL088,ENG,"2010","9999"
NAIL060,ENG,"2014","9999"
NAIL061,ENG,"2017","9999"
NAIL062,ENG,"2020","2021"
NAIL062,ENG,"2022","9999"
NAIL063,ENG,"2018","2023"
NAIL063,ENG,"2024","9999"
NAIL068,ENG,"2019","9999"
NAIL069,CZE,"2014","9999"
NAIL070,ENG,"2014","9999"
NAIL071,CZE,"2014","9999"
NAIL073,ENG,"2015","9999"
NAIL074,ENG,"2015","9999"
NAIL078,ENG,"2015","9999"
NAIL079,ENG,"2015","9999"
NAIL082,ENG,"2015","9999"
NAIL086,ENG,"2015","9999"
NAIL094,ENG,"2020","9999"
NAIL097,ENG,"2016","9999"
NAIL099,ENG,"2019","9999"
NAIL101,ENG,"2015","2022"
NAIL101,ENG,"2023","9999"
NAIL104,ENG,"2021","9999"
NAIL106,ENG,"2015","9999"
NAIL107,ENG,"2018","9999"
NAIL108,ENG,"2015","9999"
NAIL113,ENG,"2020","9999"
NAIL114,ENG,"2020","9999"
NAIL115,ENG,"2020","9999"
NAIL116,CZE,"2021","9999"
NAIL119,ENG,"2024","9999"
NAIL120,ENG,"2019","9999"
NAIL121,ENG,"2024","9999"
NAIL123,ENG,"2019","9999"
NAIL124,ENG,"2019","9999"
NAIL125,CZE,"2020","9999"
NAIL130,ENG,"2022","2023"
NAIL130,ENG,"2024","9999"
NAIL133,ENG,"2023","9999"
NAIL135,ENG,"2024","9999"
NAST001,ENG,"2024","9999"
NAST002,ENG,"2024","9999"
NAST003,ENG,"2024","9999"
NAST004,ENG,"2024","9999"
NAST005,ENG,"2024","9999"
NAST008,ENG,"2024","9999"
NAST009,ENG,"2024","9999"
NAST010,ENG,"2024","9999"
NAST011,ENG,"2024","9999"
NAST012,ENG,"2024","9999"
NAST013,ENG,"2024","9999"
NAST014,ENG,"2021","9999"
NAST017,ENG,"2024","9999"
NAST018,ENG,"2024","9999"
NAST019,ENG,"2024","9999"
NAST020,ENG,"2024","9999"
NAST021,CZE,"2024","9999"
NAST023,ENG,"2024","9999"
NAST024,ENG,"2024","9999"
NAST026,ENG,"2024","9999"
NAST030,ENG,"2024","9999"
NAST031,ENG,"2024","9999"
NAST034,ENG,"2024","9999"
NAST036,ENG,"2024","9999"
NAST037,ENG,"2024","9999"
NAST038,ENG,"2024","9999"
NAST039,ENG,"2024","9999"
NAST040,CZE,"2024","9999"
NAST041,ENG,"2024","9999"
NAST042,ENG,"2024","9999"
NAST100,ENG,"2024","9999"
NBCM012,ENG,"2024","9999"
NBCM018,ENG,"2024","9999"
NBCM029,ENG,"2021","9999"
NBCM039,ENG,"2024","9999"
NBCM055,ENG,"2022","9999"
NBCM060,ENG,"2020","2022"
NBCM060,ENG,"2023","9999"
NBCM067,ENG,"2023","9999"
NBCM070,ENG,"2021","9999"
NBCM083,CZE,"2022","9999"
NBCM088,ENG,"2024","9999"
NBCM090,ENG,"2021","9999"
NBCM091,ENG,"2020","2021"
NBCM091,ENG,"2022","9999"
NBCM093,ENG,"2023","9999"
NBCM095,CZE,"2024","9999"
NBCM103,ENG,"2024","9999"
NBCM160,ENG,"2024","9999"
NBCM173,ENG,"2018","9999"
NBCM177,ENG,"2024","9999"
NBCM178,ENG,"2024","9999"
NBCM179,ENG,"2024","9999"
NBCM182,ENG,"2019","9999"
NBCM209,ENG,"2021","9999"
NBCM213,ENG,"2018","2021"
NBCM213,ENG,"2022","2022"
NBCM213,ENG,"2023","9999"
NBCM215,ENG,"2018","2022"
NBCM215,ENG,"2023","9999"
NBCM219,ENG,"2021","9999"
NBCM231,ENG,"2021","9999"
NBCM233,ENG,"2018","2021"
NBCM233,ENG,"2022","9999"
NBCM237,ENG,"2020","9999"
NBCM243,ENG,"2024","9999"
NBCM244,ENG,"2024","9999"
NBCM306,ENG,"2024","9999"
NBCM324,ENG,"2023","9999"
NBCM346,ENG,"2018","9999"
NBCM347,ENG,"2018","9999"
NCGD015,ENG,"2024","9999"
NCHF071,ENG,"2021","9999"
NCHF072,ENG,"2021","2021"
NCHF072,ENG,"2022","9999"
NCHF073,ENG,"2021","2022"
NCHF073,ENG,"2023","9999"
NCHF074,ENG,"2021","2023"
NCHF074,ENG,"2024","9999"
NDBI001,ENG,"2015","9999"
NDBI006,ENG,"2020","9999"
NDBI007,ENG,"2020","2020"
NDBI007,ENG,"2021","9999"
NDBI013,ENG,"2014","9999"
NDBI021,ENG,"2020","2020"
NDBI021,ENG,"2021","2021"
NDBI021,ENG,"2022","9999"
NDBI023,CZE,"2020","9999"
NDBI025,ENG,"2017","9999"
NDBI026,ENG,"2014","9999"
NDBI034,ENG,"2015","2020"
NDBI034,ENG,"2021","9999"
NDBI038,ENG,"2014","9999"
NDBI040,ENG,"2020","9999"
NDBI046,ENG,"2020","2021"
NDBI046,ENG,"2022","2022"
NDBI046,ENG,"2023","9999"
NDBI049,ENG,"2024","9999"
NDBI051,ENG,"2024","9999"
NDGF001,ENG,"2016","9999"
NDGF002,ENG,"2016","9999"
NDGF003,ENG,"2016","9999"
NDGF004,ENG,"2016","9999"
NDGF006,ENG,"2016","9999"
NDGF007,ENG,"2016","9999"
NDGF008,ENG,"2016","9999"
NDGF010,ENG,"2016","9999"
NDGF012,ENG,"2016","9999"
NDGF013,ENG,"2016","9999"
NDGF014,ENG,"2017","9999"
NDGF015,ENG,"2016","9999"
NDGF016,ENG,"2016","9999"
NDGF017,ENG,"2016","9999"
NDGF018,ENG,"2016","9999"
NDGF019,ENG,"2016","9999"
NDGF020,ENG,"2016","9999"
NDGF021,ENG,"2016","9999"
NDGF022,ENG,"2016","9999"
NDGF023,ENG,"2016","9999"
NDGF024,ENG,"2016","9999"
NDGF025,ENG,"2019","2020"
NDGF026,ENG,"2016","9999"
NDGF027,ENG,"2016","9999"
NDGF028,ENG,"2016","9999"
NDGF029,ENG,"2016","9999"
NDGF030,ENG,"2016","9999"
NDGF031,ENG,"2016","9999"
NDIR240,ENG,"2016","9999"
NTMF090,CZE,"2020","9999"
NTMF091,CZE,"2020","9999"
NTMF095,CZE,"2020","9999"
NTMF099,ENG,"2020","2022"
NTMF100,ENG,"2020","2021"
NTMF100,ENG,"2022","2022"
NTMF100,ENG,"2023","9999"
NTMF107,ENG,"2020","9999"
NTMF111,ENG,"2021","9999"
NTMF112,ENG,"2020","9999"
NTMF120,ENG,"2020","9999"
NTMF130,ENG,"2020","9999"
NTVY006,ENG,"2021","2021"
NUFY128,ENG,"2016","9999"
NUFY129,ENG,"2016","9999"
NJSF101,ENG,"2022","9999"
NJSF102,ENG,"2022","9999"
NJSF105,ENG,"2022","9999"
NJSF107,ENG,"2022","9999"
NJSF109,ENG,"2018","9999"
NJSF130,ENG,"2022","9999"
NJSF131,ENG,"2022","9999"
NJSF138,ENG,"2022","9999"
NJSF139,ENG,"2022","9999"
NJSF140,ENG,"2022","9999"
NJSF141,ENG,"2022","9999"
NJSF142,ENG,"2022","9999"
NJSF143,ENG,"2022","9999"
NJSF145,ENG,"2022","9999"
NJSF146,ENG,"2022","9999"
NJSF157,ENG,"2022","9999"
NJSF158,ENG,"2022","9999"
NJSF159,ENG,"2022","9999"
NJSF191,ENG,"2022","9999"
NJSF192,ENG,"2022","9999"
NJSF193,ENG,"2022","9999"
NJSF195,ENG,"2022","9999"
NJSF196,ENG,"2020","9999"
NJSF197,ENG,"2021","9999"
NLTM001,ENG,"2015","2023"
NLTM011,ENG,"2015","9999"
NMAF013,ENG,"2020","9999"
NMAF014,ENG,"2020","9999"
NMAF026,ENG,"2020","2020"
NMAF026,ENG,"2021","9999"
NMAF037,ENG,"2020","9999"
NMAG331,ENG,"2020","2022"
NMAG331,ENG,"2023","2023"
NMAG331,ENG,"2024","9999"
NMAG334,ENG,"2021","9999"
NMAG401,CZE,"2017","9999"
NMAG403,CZE,"2017","9999"
NMAG405,CZE,"2017","2020"
NMAG405,CZE,"2021","2023"
NMAG405,CZE,"2024","9999"
NMAG407,CZE,"2018","9999"
NMAG409,CZE,"2020","2022"
NMAG409,CZE,"2023","9999"
NMAG411,CZE,"2021","9999"
NMAG411,ENG,"2020","2020"
NMAG430,ENG,"2020","2021"
NMAG430,ENG,"2022","2022"
NMAG430,ENG,"2023","9999"
NMAG431,ENG,"2017","9999"
NMAG432,ENG,"2018","9999"
NMAG433,ENG,"2019","9999"
NMAG435,CZE,"2016","9999"
NMAG436,ENG,"2019","9999"
NMAG438,CZE,"2014","2020"
NMAG438,CZE,"2021","2022"
NMAG438,CZE,"2023","9999"
NMAG439,CZE,"2021","9999"
NMAG440,CZE,"2016","9999"
NMAG444,CZE,"2020","9999"
NMAG446,CZE,"2019","9999"
NMAG448,ENG,"2020","9999"
NMAG450,CZE,"2019","2023"
NMAG450,CZE,"2024","9999"
NMAG451,ENG,"2014","9999"
NMAG454,ENG,"2019","2020"
NMAG454,ENG,"2021","2022"
NMAG454,ENG,"2024","9999"
NMAG455,CZE,"2020","2021"
NMAG455,CZE,"2022","9999"
NMAG456,CZE,"2018","2022"
NMAG456,CZE,"2023","9999"
NMAG458,CZE,"2020","9999"
NMAG460,ENG,"2018","9999"
NMAG461,ENG,"2014","9999"
NMAG462,CZE,"2019","2022"
NMAG462,CZE,"2023","9999"
NMAG464,CZE,"2023","9999"
NMAG465,CZE,"2014","9999"
NMAG466,CZE,"2018","9999"
NMAG467,ENG,"2014","9999"
NMAG472,CZE,"2024","9999"
NMAG473,CZE,"2019","2022"
NMAG473,CZE,"2023","9999"
NMAG475,CZE,"2020","9999"
NMAG481,CZE,"2021","9999"
NMAG481,ENG,"2018","2020"
NMAG498,CZE,"2017","2022"
NMAG498,CZE,"2023","9999"
NMAG499,CZE,"2019","2022"
NMAG499,CZE,"2023","9999"
