"PLAN_CODE","PLAN_YEAR","CODE","NAME_CZ","NAME_EN","SUBJECT_STATUS","SEMESTER_PRIMARY","SEMESTER_COUNT","SUBJECT_TYPE","WORKLOAD_PRIMARY1","WORKLOAD_SECONDARY1","WORKLOAD_PRIMARY2","WORKLOAD_SECONDARY2","CREDITS","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NIPVS19B,"2020",NSWX142,Programování webových aplikací,Web Applications Programming,V,"1","1",*,"2","2",,,6,NSWI142,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0006",,,,
NIPVS19B,"2020",NSWX153,Pokročilé programování webových aplikací,Advanced Programming of Web Applications,V,"2","1",*,"2","2",,,6,NSWI153,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0007",,,,
NIPVS19B,"2020",NSZZ026,Bakalářská práce,Bachelor Thesis,Z,"3","1",Z,"0","4",,,6,NSZZ031,"6241",A,,Bakalářská práce,,"02/001/0001",,,,
NIPVS19B,"2020",NSZZ031,Vypracování a konzultace bakalářské práce,Bachelor Thesis,V,"3","1",Z,"0","4",,,6,,"6241",A,,Bakalářská práce,,"02/001/0001",,,,
NIPVS19B,"2020",NTIN060,Algoritmy a datové struktury 1,Algorithms and Data Structures 1,V,"2","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0007",,,,
NIPVS19B,"2020",NTIN061,Algoritmy a datové struktury 2,Algorithms and Data Structures 2,V,"1","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0014",,,,
NIPVS19B,"2020",NTIN071,Automaty a gramatiky,Automata and Grammars,V,"2","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0017",,,,
NIPVS19B,"2020",NTIX061,Algoritmy a datové struktury 2,Algorithms and Data Structures 2,V,"1","1",*,"2","2",,,6,NTIN061,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0014",,,,
NIPVS19B,"2020",NTIX071,Automaty a gramatiky,Automata and Grammars,V,"2","1",*,"2","2",,,6,NTIN071,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0017",,,,
NIPVS19B,"2020",NTVY014,Tělesná výchova I,Physical Education I,V,"1","1",Z,"0","2",,,1,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0001",,,,
NIPVS19B,"2020",NTVY015,Tělesná výchova II,Physical Education II,V,"2","1",Z,"0","2",,,1,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0002",,,,
NIPVS19B,"2020",NTVY016,Tělesná výchova III,Physical Education III,V,"1","1",Z,"0","2",,,1,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0003",,,,
NIPVS19B,"2020",NTVY017,Tělesná výchova IV,Physical Education IV,V,"2","1",Z,"0","2",,,1,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0004",,,,
NIPVS19B,"2020",NTVY018,Letní výcvikový kurz,Summer Training,V,"2","1",Z,"0","0",,,1,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0006",,,,
NIPVS19B,"2020",NTVY019,Zimní výcvikový kurz,Winter Training,V,"1","1",Z,"0","0",,,1,,"3230",B,4,Tělesná výchova s kurzy,,"02/003/0005",,,,
NISD23N,"2023",N#IA022,Složitost I a Vyčíslitelnost I,,V,,,,,,,,,NTIN090,"5145",A,10,povinné předměty - obecná část,,"01/000/0002",,,neprofilující - teoretické základy,
NISD23N,"2023",NDBI001,Dotazovací jazyky 1,Query Languages 1,N,"1","1",*,"2","2",,,5,NDBI049,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0003",,,,
NISD23N,"2023",NDBI006,Dotazovací jazyky 2,Query Languages 2,N,"2","1",*,"2","2",,,5,NDBI050,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0004",,,,
NISD23N,"2023",NDBI016,Transakce,Transactions,V,"2","1",K,"2","0",,,3,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0005",,,,
NISD23N,"2023",NDBI021,Uživatelské preference a pokročilé metody doporučování,User preferences and advanced recommending methods,V,"2","1",*,"2","1",,,4,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0006",,,,
NISD23N,"2023",NDBI023,Dobývání znalostí,Data Mining,V,"2","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0007",,,,
NISD23N,"2023",NDBI034,Vyhledávání multimediálního obsahu na webu,Multimedia Retrieval,V,"1","1",*,"2","1",,,4,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0008",,,,
NISD23N,"2023",NDBI037,Informační modely s uspořádáním,Information Models with Ordering,Z,"1","1",*,"2","1",,,4,NSWI166,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0010",,,,
NISD23N,"2023",NDBI040,Moderní databázové systémy,Modern Database Systems,V,"2","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0009",,,,
NISD23N,"2023",NDBI042,Techniky vizualizace dat,Data Visualization Techniques,V,"2","1",*,"2","1",,,4,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0010",,,,
NISD23N,"2023",NDBI048,Data Science,Data Science,V,"1","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0028",,,,
NISD23N,"2023",NDBI049,Dotazovací jazyky 1,Query Languages 1,V,"1","1",K,"2","0",,,3,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0003",,,,
NISD23N,"2023",NDBI050,Dotazovací jazyky 2,Query Languages 2,V,"2","1",K,"2","0",,,3,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0004",,,,
NISD23N,"2023",NMAI060,Pravděpodobnostní metody,Probabilistic Methods,V,"1","1",K,"2","0",,,3,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0001",,,,
NISD23N,"2023",NPFL054,Úvod do strojového učení v systému R,Introduction to Machine Learning with R,N,"2","1",*,"2","2",,,5,NPFL129,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0013",,,,
NISD23N,"2023",NPFL114,Hluboké učení,Deep Learning,N,"2","1",*,"3","2",,,7,NPFL138,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0012",,,,
NISD23N,"2023",NPFL129,Úvod do strojového učení v Pythonu,Introduction to Machine Learning with Python,V,"1","1",*,"2","2",,,5,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0013",,,,
NISD23N,"2023",NPFL138,Hluboké učení,Deep Learning,V,"2","1",*,"3","4",,,8,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0012",,,,
NISD23N,"2023",NPRG014,Koncepty moderních programovacích jazyků,Concepts of Modern Programming Languages,V,"1","1",Z,"0","3",,,4,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0013",,,,
NISD23N,"2023",NPRG024,Návrhové vzory,Design Patterns,V,"2","1",F,"0","2",,,3,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0014",,,,
NISD23N,"2023",NPRG042,Programování v paralelním prostředí,Programming in Parallel Environment,V,"2","1",F,"2","2",,,6,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0018",,,,
NISD23N,"2023",NPRG043,Doporučené postupy v programování,Recommended Programming Practices,V,"2","1",F,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0015",,,,
NISD23N,"2023",NPRG054,Vývoj vysoce výkonného software,High Performance Software Development,V,"2","1",F,"2","2",,,6,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0003",,,,
NISD23N,"2023",NPRG058,Pokročilé programování v paralelním prostředí,Advanced Programming in Parallel Environment,V,"1","1",*,"2","2",,,6,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0012",,,,
NISD23N,"2023",NPRG069,Softwarový projekt,Software Project,V,"3","1",Z,"0","8",,,12,,"5149",B,6,Předměty týmového projektu,,"01/004/0001",,,,
NISD23N,"2023",NPRG070,Výzkumný projekt,Research Project,V,"3","1",Z,"0","6",,,9,,"5149",B,6,Předměty týmového projektu,,"01/004/0002",,,,
NISD23N,"2023",NPRG071,Firemní projekt,Company Project,V,"3","1",Z,"0","4",,,6,,"5149",B,6,Předměty týmového projektu,,"01/004/0003",,,,
NISD23N,"2023",NPRG072,Zvýšený rozsah projektu,Increased project scope,V,"3","1",Z,"0","2",,,3,,"5149",B,6,Předměty týmového projektu,,"01/004/0004",,,,
NISD23N,"2023",NPRX043,Doporučené postupy v programování,Recommended Programming Practices,V,"2","1",F,"2","2",,,6,NPRG043,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0015",,,,
NISD23N,"2023",NSWI026,Pokročilé aspekty softwarového inženýrství,Advanced aspects of software engineering,V,"2","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0019",,,,
NISD23N,"2023",NSWI035,Principy distribuovaných systémů,Principles of Distributed Systems,V,"1","1",K,"2","0",,,3,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0004",,,,
NISD23N,"2023",NSWI072,Algoritmy komprese dat,Data Compression Algorithms,V,"1","1",K,"2","0",,,3,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0020",,,,
NISD23N,"2023",NSWI080,Middleware,Middleware,V,"2","1",F,"2","1",,,4,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0005",,,,
NISD23N,"2023",NSWI101,Modely a verifikace chování systémů,System Behaviour Models and Verification,V,"1","1",*,"2","2",,,5,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0006",,,,
NISD23N,"2023",NSWI126,Pokročilé nástroje pro vývoj a monitorování software,Advanced Tools for Software Development and Monitoring,V,"1","1",Z,"0","2",,,2,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0021",,,,
NISD23N,"2023",NSWI130,Architektury softwarových systémů,Software System Architectures,V,"1","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0022",,,,
NISD23N,"2023",NSWI131,Vyhodnocování výkonnosti počítačových systémů,Performance Evaluation of Computer Systems,V,"2","1",*,"2","1",,,4,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0007",,,,
NISD23N,"2023",NSWI144,Data na Webu,Data on the Web,V,"2","1",*,"2","1",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0023",,,,
NISD23N,"2023",NSWI145,Webové služby,Web Services,V,"2","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0024",,,,
NISD23N,"2023",NSWI149,Softwarové inženýrství v praxi,Software Engineering in Practice,V,"2","1",Z,"2","0",,,3,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0008",,,,
NISD23N,"2023",NSWI150,Virtualizace a cloud computing,Virtualization and Cloud Computing,V,"1","1",K,"2","0",,,3,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0025",,,,
NISD23N,"2023",NSWI152,Vývoj cloudových aplikací,Cloud Application Development,V,"2","1",Z,"0","2",,,3,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0009",,,,
NISD23N,"2023",NSWI153,Pokročilé programování webových aplikací,Advanced Programming of Web Applications,V,"2","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0026",,,,
NISD23N,"2023",NSWI166,Úvod do doporučovacích systémů a uživatelských preferencí,Introduction to recommender systems and user preferences,V,"2","1",*,"2","1",,,4,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0010",,,,
NISD23N,"2023",NSWX153,Pokročilé programování webových aplikací,Advanced Programming of Web Applications,V,"2","1",*,"2","2",,,6,NSWI153,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0026",,,,
NISD23N,"2023",NSZZ023,Diplomová práce I,Diploma Thesis I,V,"3","1",Z,"0","4",,,6,,"5146",A,30,povinné předměty - pro zpracování závěrečné práce,,"01/001/0001",,,,
NISD23N,"2023",NSZZ024,Diplomová práce II,Diploma Thesis II,V,"3","1",Z,"0","6",,,9,,"5146",A,30,povinné předměty - pro zpracování závěrečné práce,,"01/001/0002",,,,
NISD23N,"2023",NSZZ025,Diplomová práce III,Diploma Thesis III,V,"3","1",Z,"0","10",,,15,,"5146",A,30,povinné předměty - pro zpracování závěrečné práce,,"01/001/0003",,,,
NISD23N,"2023",NTIN043,Formální základy softwarového inženýrství,Formal Foundations of Software Engineering,V,"1","1",*,"2","2",,,5,,"5147",B,41,povinně volitelné profilující - přednášky a semináře,,"01/002/0027",,,,
NISD23N,"2023",NTIN066,Datové struktury 1,Data Structures 1,V,"3","1",*,"2","2",,,6,,"5145",A,10,povinné předměty - obecná část,,"01/000/0001",,,neprofilující - teoretické základy,
NISD23N,"2023",NTIN067,Datové struktury 2,Data Structures 2,V,"2","1",K,"2","0",,,3,,"5148",B,15,povinně volitelné společné - přednášky a semináře,,"01/003/0011",,,,
NISD23N,"2023",NTIN090,Základy složitosti a vyčíslitelnosti,Introduction to Complexity and Computability,V,"1","1",*,"2","1",,,4,,"5145",A,10,povinné předměty - obecná část,,"01/000/0002",,,neprofilující - teoretické základy,
NISD23N,"2023",NTIX066,Datové struktury I,Data Structures I,V,"3","1",*,"2","1",,,5,NTIN066,"5145",A,10,povinné předměty - obecná část,,"01/000/0001",,,neprofilující - teoretické základy,
NISD23N,"2023",NTIX090,Základy složitosti a vyčíslitelnosti,Introduction to Complexity and Computability,V,"1","1",*,"2","1",,,5,NTIN090,"5145",A,10,povinné předměty - obecná část,,"01/000/0002",,,neprofilující - teoretické základy,
